time (us),GPS_fixType,GPS_numSat,GPS_coord[0],GPS_coord[1],GPS_altitude,GPS_speed (m/s),GPS_ground_course,GPS_hdop,GPS_eph,GPS_epv,GPS_velned[0],GPS_velned[1],GPS_velned[2],GPS_home_lat,GPS_home_lon
178043544,2,8,39.2993843,-0.615472,231,12.52,271.5,184,100,144,33,-1252,-79,39.2992951,-0.6147698
178219447,2,9,39.2993872,-0.6154987,231,12.04,278.7,160,99,142,182,-1190,-195,39.2992951,-0.6147698
178419766,2,7,39.2993884,-0.6155279,231,12.62,274.2,218,99,141,94,-1259,-120,39.2992951,-0.6147698
178640230,2,9,39.2993904,-0.6155574,231,12.64,276.1,170,98,140,135,-1257,-49,39.2992951,-0.6147698
178820424,2,10,39.2993934,-0.6155865,231,12.7,278.2,160,97,138,182,-1257,-20,39.2992951,-0.6147698
179022002,2,10,39.2993973,-0.6156156,231,12.81,280.9,165,96,137,244,-1257,-7,39.2992951,-0.6147698
179221863,2,10,39.2994019,-0.6156443,231,12.58,282.8,165,95,136,279,-1226,0,39.2992951,-0.6147698
179422621,2,10,39.2994071,-0.6156729,231,12.61,283.9,165,95,135,303,-1224,4,39.2992951,-0.6147698
179642715,2,10,39.2994127,-0.6157015,231,12.64,285.1,184,94,135,329,-1220,6,39.2992951,-0.6147698
179823205,2,9,39.299419,-0.6157303,231,12.8,286.6,184,94,134,366,-1226,1,39.2992951,-0.6147698
180022776,2,9,39.2994252,-0.6157591,231,12.84,286.3,160,93,133,360,-1232,-8,39.2992951,-0.6147698
180223719,2,9,39.2994316,-0.6157882,231,12.95,286.3,160,93,132,364,-1243,-4,39.2992951,-0.6147698
180424074,2,9,39.2994381,-0.6158169,231,12.94,286.8,160,92,131,375,-1238,-28,39.2992951,-0.6147698
180644158,2,9,39.2994443,-0.6158457,231,13.05,285.4,160,92,131,348,-1258,-46,39.2992951,-0.6147698
180824547,2,9,39.2994504,-0.6158748,231,13.17,285.1,184,91,130,345,-1271,-72,39.2992951,-0.6147698
181024509,2,8,39.2994557,-0.6159044,231,13.19,283.5,184,91,130,308,-1282,-96,39.2992951,-0.6147698
181225227,2,7,39.2994605,-0.6159337,232,13.05,282.6,189,90,130,285,-1274,-146,39.2992951,-0.6147698
181425288,2,8,39.2994642,-0.6159632,232,13.0,280.2,189,90,129,231,-1280,-180,39.2992951,-0.6147698
181626218,2,8,39.2994679,-0.615992,233,12.72,280.0,189,89,129,223,-1252,-196,39.2992951,-0.6147698
181826297,2,8,39.2994712,-0.6160207,233,12.66,278.7,165,89,128,193,-1251,-212,39.2992951,-0.6147698
182027195,2,8,39.2994735,-0.6160496,234,12.62,277.0,165,88,128,154,-1252,-249,39.2992951,-0.6147698
182200607,2,8,39.2994735,-0.6160496,234,12.62,277.0,165,88,128,154,-1252,-249,39.2992951,-0.6147698
182207646,2,8,39.2994759,-0.6160776,234,12.33,277.1,165,88,127,152,-1223,-250,39.2992951,-0.6147698
182408086,2,8,39.2994788,-0.6161043,235,11.88,278.5,165,87,127,176,-1175,-278,39.2992951,-0.6147698
182627518,2,8,39.2994815,-0.6161311,236,11.85,277.7,165,87,127,160,-1175,-271,39.2992951,-0.6147698
182807984,2,8,39.299484,-0.616157,236,11.46,278.0,165,86,126,160,-1135,-296,39.2992951,-0.6147698
183008452,2,8,39.2994857,-0.6161835,237,11.61,275.5,165,86,126,113,-1155,-266,39.2992951,-0.6147698
183208761,2,8,39.2994877,-0.6162087,237,11.12,276.5,165,86,125,127,-1104,-281,39.2992951,-0.6147698
183408620,2,8,39.2994898,-0.6162341,238,11.24,276.4,165,85,125,126,-1117,-253,39.2992951,-0.6147698
183630485,2,8,39.299492,-0.6162612,238,11.82,276.0,165,85,125,124,-1176,-192,39.2992951,-0.6147698
183810796,2,8,39.2994954,-0.616287,238,11.55,279.4,165,85,124,190,-1139,-171,39.2992951,-0.6147698
184010231,2,8,39.2994985,-0.6163131,238,11.64,278.3,165,85,124,170,-1151,-171,39.2992951,-0.6147698
184211187,2,8,39.2995022,-0.6163396,239,11.73,279.3,165,84,123,190,-1157,-153,39.2992951,-0.6147698
184410873,2,8,39.2995064,-0.6163652,239,11.49,280.9,165,84,123,218,-1128,-135,39.2992951,-0.6147698
184631435,2,8,39.2995104,-0.61639,240,11.28,282.1,165,84,123,237,-1103,-209,39.2992951,-0.6147698
184811047,2,9,39.2995145,-0.6164159,240,11.45,281.2,160,84,122,224,-1123,-183,39.2992951,-0.6147698
185011348,2,9,39.2995189,-0.6164416,240,11.47,281.6,160,84,122,232,-1123,-167,39.2992951,-0.6147698
185211708,2,9,39.2995234,-0.6164673,241,11.56,281.7,160,84,122,234,-1132,-175,39.2992951,-0.6147698
185412343,2,9,39.2995282,-0.6164926,241,11.4,282.6,160,84,121,249,-1112,-164,39.2992951,-0.6147698
185633343,2,9,39.2995332,-0.6165175,241,11.37,282.7,160,83,121,251,-1109,-164,39.2992951,-0.6147698
185813727,2,9,39.2995381,-0.6165424,242,11.34,282.9,160,83,121,253,-1105,-173,39.2992951,-0.6147698
186014568,2,9,39.2995431,-0.6165664,243,11.02,284.1,160,83,120,268,-1069,-214,39.2992951,-0.6147698
186213442,2,9,39.2995478,-0.6165911,243,11.02,282.7,160,83,120,243,-1075,-191,39.2992951,-0.6147698
186354936,2,9,39.2995478,-0.6165911,243,11.02,282.7,160,83,120,243,-1075,-191,39.2992951,-0.6147698
186414661,2,9,39.2995524,-0.6166164,243,11.35,281.9,160,83,120,234,-1110,-178,39.2992951,-0.6147698
186634809,2,9,39.2995569,-0.6166415,244,11.15,282.2,160,83,120,237,-1090,-145,39.2992951,-0.6147698
186814766,2,9,39.2995612,-0.6166664,244,11.26,281.5,160,83,119,225,-1104,-157,39.2992951,-0.6147698
186995520,2,9,39.2995654,-0.6166912,244,11.17,281.2,170,82,119,218,-1095,-140,39.2992951,-0.6147698
187195925,2,10,39.2995695,-0.6167161,245,11.22,280.9,155,82,119,212,-1102,-137,39.2992951,-0.6147698
187395837,2,9,39.2995733,-0.6167409,245,11.17,280.5,160,82,119,204,-1098,-142,39.2992951,-0.6147698
187636732,2,9,39.2995772,-0.6167655,246,11.12,280.9,160,82,119,210,-1091,-141,39.2992951,-0.6147698
187796066,2,9,39.2995806,-0.6167903,246,11.1,279.3,160,82,119,181,-1095,-146,39.2992951,-0.6147698
187997475,2,10,39.299584,-0.6168151,246,11.09,279.5,160,81,119,184,-1094,-135,39.2992951,-0.6147698
188197538,2,9,39.2995867,-0.6168401,247,11.17,278.0,160,81,119,156,-1106,-154,39.2992951,-0.6147698
188398126,2,9,39.2995899,-0.6168645,247,10.94,278.9,165,81,119,169,-1081,-131,39.2992951,-0.6147698
188618403,2,8,39.2995923,-0.6168892,247,11.08,277.2,165,81,119,139,-1099,-156,39.2992951,-0.6147698
188798984,2,9,39.2995944,-0.6169145,248,11.22,276.2,165,81,118,123,-1115,-161,39.2992951,-0.6147698
188999764,2,8,39.2995963,-0.6169392,248,10.83,275.9,165,80,119,111,-1077,-171,39.2992951,-0.6147698
189200560,2,8,39.2995981,-0.6169647,249,11.23,275.3,165,80,119,105,-1119,-199,39.2992951,-0.6147698
189400329,2,9,39.2996011,-0.6169893,249,10.84,278.5,174,81,119,162,-1072,-190,39.2992951,-0.6147698
189620921,2,9,39.299606,-0.6170152,249,11.36,282.7,160,81,119,249,-1109,-157,39.2992951,-0.6147698
189801870,2,10,39.2996114,-0.6170409,250,11.52,284.7,160,81,119,294,-1113,-132,39.2992951,-0.6147698
190001536,2,9,39.2996179,-0.6170643,250,10.97,289.9,189,81,119,373,-1031,-119,39.2992951,-0.6147698
190201629,2,9,39.2996261,-0.6170883,250,11.24,294.7,147,80,118,471,-1020,-60,39.2992951,-0.6147698
190402331,2,8,39.2996358,-0.6171113,250,11.26,298.8,158,80,118,543,-986,-34,39.2992951,-0.6147698
190512523,2,8,39.2996358,-0.6171113,250,11.26,298.8,158,80,118,543,-986,-34,39.2992951,-0.6147698
190623035,2,9,39.2996467,-0.6171341,249,11.51,301.6,147,80,118,603,-980,40,39.2992951,-0.6147698
190803365,2,8,39.2996603,-0.6171568,249,11.97,307.7,160,80,117,733,-946,152,39.2992951,-0.6147698
191003843,2,10,39.2996742,-0.6171796,248,12.13,310.6,147,80,117,790,-920,255,39.2992951,-0.6147698
191203777,2,9,39.2996907,-0.6171983,248,12.18,320.0,169,80,117,934,-781,185,39.2992951,-0.6147698
191383870,2,10,39.2997101,-0.6172136,248,12.44,329.0,141,80,116,1067,-639,148,39.2992951,-0.6147698
191624752,2,10,39.2997318,-0.6172256,247,12.93,337.9,141,80,115,1198,-486,92,39.2992951,-0.6147698
191785198,2,9,39.2997531,-0.6172326,247,12.42,347.6,155,80,115,1213,-265,54,39.2992951,-0.6147698
191985665,2,10,39.2997747,-0.617236,247,12.41,355.4,141,79,114,1237,-98,19,39.2992951,-0.6147698
192185318,2,10,39.299796,-0.6172352,247,12.19,3.7,141,79,113,1217,79,-26,39.2992951,-0.6147698
192385953,2,9,39.2998178,-0.6172308,247,12.52,11.1,160,79,113,1228,243,-22,39.2992951,-0.6147698
192606754,2,8,39.2998388,-0.6172244,247,12.34,16.0,170,78,112,1186,341,-44,39.2992951,-0.6147698
192786144,2,8,39.2998573,-0.6172145,247,11.58,24.5,170,78,111,1053,480,-103,39.2992951,-0.6147698
192986770,2,9,39.2998746,-0.6172027,248,11.35,30.2,170,78,110,981,571,-152,39.2992951,-0.6147698
193186548,2,8,39.2998907,-0.617189,248,10.94,35.3,165,78,110,892,632,-151,39.2992951,-0.6147698
193387564,2,10,39.2999055,-0.6171737,248,10.84,40.1,160,78,109,828,699,-161,39.2992951,-0.6147698
193607888,2,10,39.2999178,-0.6171609,248,9.83,41.9,159,77,108,731,657,-228,39.2992951,-0.6147698
193787419,2,9,39.2999299,-0.6171461,249,9.88,45.3,159,77,108,695,703,-198,39.2992951,-0.6147698
193988393,2,10,39.2999412,-0.6171308,249,9.86,47.7,159,78,109,663,729,-177,39.2992951,-0.6147698
194188208,2,8,39.2999528,-0.6171151,249,9.94,48.0,165,82,114,663,739,-153,39.2992951,-0.6147698
194388774,2,8,39.2999637,-0.6170988,249,9.87,49.9,165,83,115,634,756,-144,39.2992951,-0.6147698
194609129,2,9,39.2999751,-0.6170827,249,9.9,49.6,165,83,115,641,754,-95,39.2992951,-0.6147698
194668923,2,9,39.2999751,-0.6170827,249,9.9,49.6,165,83,115,641,754,-95,39.2992951,-0.6147698
194790302,2,8,39.2999864,-0.6170665,249,9.85,49.8,165,84,116,634,753,-78,39.2992951,-0.6147698
194989853,2,9,39.2999977,-0.6170502,249,9.83,50.4,165,84,116,626,758,-50,39.2992951,-0.6147698
195189946,2,9,39.3000095,-0.6170337,249,10.03,48.7,165,83,114,661,754,-29,39.2992951,-0.6147698
195390291,2,8,39.300022,-0.6170171,249,10.03,47.7,170,82,113,674,743,-18,39.2992951,-0.6147698
195590039,2,8,39.300035,-0.6170006,249,10.21,45.9,170,81,111,710,733,-20,39.2992951,-0.6147698
195770852,2,9,39.3000486,-0.6169846,248,10.37,43.8,170,80,110,747,719,-2,39.2992951,-0.6147698
195970801,2,9,39.3000625,-0.6169691,248,10.42,41.7,165,78,108,777,694,5,39.2992951,-0.6147698
196171115,2,9,39.3000776,-0.616954,248,10.9,39.5,159,77,106,840,694,6,39.2992951,-0.6147698
196370884,2,9,39.300093,-0.6169401,248,10.73,36.8,159,78,106,859,643,42,39.2992951,-0.6147698
196591785,2,9,39.3001091,-0.616927,247,10.9,34.1,159,78,106,902,611,32,39.2992951,-0.6147698
196771870,2,9,39.300126,-0.6169148,247,10.95,30.8,165,77,106,940,562,23,39.2992951,-0.6147698
196971889,2,8,39.3001436,-0.616903,247,11.12,29.2,189,75,103,970,542,29,39.2992951,-0.6147698
197172430,2,8,39.300162,-0.6168914,247,11.35,27.3,179,74,101,1008,521,18,39.2992951,-0.6147698
197373154,2,8,39.300181,-0.6168806,247,11.46,25.3,165,72,98,1035,491,20,39.2992951,-0.6147698
197593202,2,8,39.3002001,-0.6168704,247,11.46,23.8,165,71,97,1048,463,22,39.2992951,-0.6147698
197773492,2,8,39.3002191,-0.6168605,247,11.42,23.5,165,71,97,1048,455,-2,39.2992951,-0.6147698
197973538,2,9,39.3002387,-0.6168513,246,11.5,21.4,165,71,96,1070,421,10,39.2992951,-0.6147698
198174667,2,9,39.3002583,-0.6168422,246,11.53,21.1,165,71,96,1075,415,-9,39.2992951,-0.6147698
198373960,2,9,39.3002778,-0.6168336,246,11.43,20.8,165,71,95,1068,407,-11,39.2992951,-0.6147698
198594004,2,8,39.3002975,-0.6168248,246,11.44,21.1,179,70,95,1067,412,-16,39.2992951,-0.6147698
198774713,2,8,39.300317,-0.6168159,246,11.42,21.0,189,70,95,1066,410,-25,39.2992951,-0.6147698
198824288,2,8,39.300317,-0.6168159,246,11.42,21.0,189,70,95,1066,410,-25,39.2992951,-0.6147698
198975005,2,7,39.3003362,-0.6168064,246,11.33,22.3,189,70,94,1048,430,-30,39.2992951,-0.6147698
199175202,2,8,39.3003554,-0.6167965,246,11.39,23.0,189,70,94,1048,446,-8,39.2992951,-0.6147698
199375086,2,9,39.3003743,-0.6167865,246,11.27,23.8,189,69,93,1031,455,-3,39.2992951,-0.6147698
199595205,2,8,39.300393,-0.6167761,246,11.29,25.1,189,69,93,1022,479,18,39.2992951,-0.6147698
